tempObjectNumber: 65, Title: Glass pendant in the shape of Harpokrates,  Period: Hellenistic,  Date: late 2nd–1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass molded; cast in a two-part mold,  Dimensions: H.: 1 in. (2.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.419
tempObjectNumber: 66, Title: Terracotta calyx-krater (bowl for mixing wine and water),  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta; black-glaze with stamped decoration,  Dimensions: H.: 8 5/16 x 8 5/16 in. (21.1 x 21.1 cm),  Classification: Vases,  Credit Line: Gift of Samuel G. Ward 1875,  Accession Number: 75.2.16
tempObjectNumber: 67, Title: Terracotta statuette of a seated boy,  Period: Cypro-Classical II,  Date: 4th century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 4 7/16 in. (11.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1605
tempObjectNumber: 68, Title: Terracotta Hadra hydria (water jar),  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Egypt Alexandria-Hadra,  Medium: Terracotta,  Dimensions: Overall: 15 1/4 x 11 7/16 in. (38.7 x 29.1 cm),  Classification: Vases,  Credit Line: Purchase 1890,  Accession Number: 90.9.23
tempObjectNumber: 69, Title: Bronze patera (salver),  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: diameter  19 9/16 in. (49.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.18
tempObjectNumber: 70, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 1/2 x 3/8 x 1/8 in. (1.3 x 1 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1007
tempObjectNumber: 71, Title: Eggshell,  Medium: Shell,  Dimensions: 2 3/16 x 1 5/8in. (5.5 x 4.1cm),  Classification: Miscellaneous-Shell,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.287
tempObjectNumber: 72, Title: Amphora,  Period: Cypro-Archaic II,  Date: 650–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 13 1/16in. (33.2cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.560
tempObjectNumber: 73, Title: Beads 44,  Culture: Roman,  Medium: Glass,  Dimensions: Diameter (Smallest Diameter): 3/16 in. (0.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.486
tempObjectNumber: 74, Title: Glass beaker,  Period: Mid-Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 7/8 x 1 3/4 in. (7.3 x 4.4 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.272
tempObjectNumber: 75, Title: Kylix,  Attribution: Douris,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Mr. and Mrs. Walter Bareiss 1986,  Accession Number: 1986.134
tempObjectNumber: 76, Title: Terracotta Nolan neck-amphora (jar),  Attribution: the Brygos Painter,  Period: Classical,  Date: ca. 480–470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. x diameter  12 x 7 5/8 in. (30.5 x 19.4 cm); diameter of foot  3 1/2 in. (8.9 cm); diameter of mouth  6 in. (15.2 cm),  Classification: Vases,  Credit Line: Purchase The Cesnola Collection by exchange 1925,  Accession Number: 25.189.3
tempObjectNumber: 77, Title: Bronze bust of Artemis,  Period: Early Imperial,  Date: 1st half of the 1st century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 3 3/8 in. (8.5 cm),  Classification: Bronzes,  Credit Line: Gift of Rupert L. Joseph 1949,  Accession Number: 49.21.2
tempObjectNumber: 78, Title: Bronze kothon (vessel for perfumed oil),  Period: Late Archaic or Classical,  Date: 5th century B.C.,  Culture: Greek Boeotian,  Medium: Bronze,  Dimensions: diameter  6 5/16in. (16cm),  Classification: Bronzes,  Credit Line: Purchase Sarah Campbell Blaffer Foundation and Nicholas S. Zoullas Gifts 1987,  Accession Number: 1987.11.6
tempObjectNumber: 79, Title: Seal,  Period: Early Minoan III,  Culture: Minoan,  Medium: Steatite,  Dimensions: Other: 9/16 x 1/4 in. (1.5 x 0.6 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.8
tempObjectNumber: 80, Title: Pendant in the form of a flower,  Medium: Gold,  Dimensions: Other: 3/8 x 5/16 x 1/8 in. (0.9 x 0.8 x 0.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3688
tempObjectNumber: 81, Title: Agate oval seal,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek,  Medium: Agate banded,  Dimensions: Length: 3/4 in. (1.9 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4172
tempObjectNumber: 82, Title: Glass bottle,  Medium: Glass,  Dimensions: H.: 4 3/16 in. (10.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.85
tempObjectNumber: 83, Title: Bronze griffin attachment,  Period: Archaic,  Date: ca. 600–575 B.C.,  Culture: Etruscan,  Medium: Bronze amber perhaps,  Dimensions: H. 7 3/16 in. (18.2 cm),  Classification: Bronzes,  Credit Line: Samuel D. Lee Fund 1941,  Accession Number: 41.11.2
tempObjectNumber: 84, Title: Bead,  Medium: Glass,  Dimensions: Other: 3/4 x 3/8 in. (1.9 x 0.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.665
tempObjectNumber: 85, Title: Loom weight,  Medium: Terracotta,  Dimensions: Diameter: 1 3/16 in. (3 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.56
tempObjectNumber: 86, Title: Pendants: ram's head,  Period: Classical,  Date: 6th–5th century B.C.,  Culture: Etruscan,  Medium: Amber,  Dimensions: H. (c): 15/16 in. (2.4 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,  Accession Number: 1992.11.18a–c
tempObjectNumber: 87, Title: Steatite pyramidal seal,  Period: Early Minoan III-Middle Minoan I,  Date: ca. 2400–1900 B.C.,  Culture: Minoan,  Medium: Serpentine,  Dimensions: Base 0.8 cm x 1 cm; H. 0.9 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.11
tempObjectNumber: 88, Title: Miniature alabaster lentoid flask,  Period: Late Bronze Age(?),  Date: ca. 1600–1200 B.C. (?),  Culture: Cypriot,  Medium: Veined alabaster,  Dimensions: Overall: 3 11/16 x 2 3/8 in. (9.4 x 6 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5137
tempObjectNumber: 89, Title: Glass two-handled bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: diameter: 3 in. (7.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.157
tempObjectNumber: 90, Title: Terracotta straight-sided cup,  Period: Middle Minoan IB,  Date: ca. 1950–1900 B.C.,  Culture: Minoan,  Medium: Terracotta; Light-on-dark ware,  Dimensions: H. 1 11/16 in. (4.3 cm); diameter  3 3/16 in. (8.1 cm),  Classification: Vases,  Credit Line: Gift of Ashmolean Museum by exchange 1911,  Accession Number: 11.186.9
