tempObjectNumber: 65, Title: Glass network mosaic fragment,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Other: 13/16 x 1 1/8 in. (2.1 x 2.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1778
tempObjectNumber: 66, Title: Amulet Khepera,  Medium: Clay glazed,  Dimensions: Other: 1 9/16 x 3/4 x 3/8 in. (4 x 1.9 x 1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4470
tempObjectNumber: 67, Title: Jasper scarab,  Period: Archaic,  Date: last quarter of 6th century B.C.,  Culture: Greek,  Medium: Jasper green,  Dimensions: 0.8 in. (2 cm.),  Classification: Gems,  Credit Line: Gift of Miss Helen Miller Gould 1910,  Accession Number: 10.130.729
tempObjectNumber: 68, Title: Glass jug,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 9/16in. (6.5cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.117
tempObjectNumber: 69, Title: Bronze navicella-type fibula (safety pin),  Period: Geometric,  Date: 8th century B.C.,  Culture: Italic,  Medium: Bronze,  Dimensions: Other: 2 5/8 in. (6.7 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.8
tempObjectNumber: 70, Title: As,  Culture: Roman,  Medium: Bronze,  Dimensions: Diameter: 15/16 × 1/8 in. 0.3oz. (2.4 × 0.3 cm 8.54g),  Classification: Coins,  Credit Line: Rogers Fund 1908,  Accession Number: 08.170.377
tempObjectNumber: 71, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Length 8.1 cm.  H. 2.5 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1914
tempObjectNumber: 72, Title: Bracelet with pendant,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Silver gold,  Dimensions: Other (pendant): 1 × 7/8 in. (2.5 × 2.3 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1898,  Accession Number: 98.11.110
tempObjectNumber: 73, Title: Juglet,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 4 1/16in. (10.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.859
tempObjectNumber: 74, Title: Lead figure of a horseman,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.100
