tempObjectNumber: 1, Title: Head of a youth,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 3 3/4 in. (9.5 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.22
tempObjectNumber: 63, Title: Centaur,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 4 3/4 in. (12.1 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1662
tempObjectNumber: 64, Title: Gold earring with convex disk,  Period: Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 1 × 3/8 × 1 5/8 in. (2.5 × 0.9 × 4.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3913
tempObjectNumber: 65, Title: Limestone finial of a funerary stele with volutes and the head of Hathor,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 18 x 31 x 2 1/2 in. (45.7 x 78.7 x 6.4 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2495
tempObjectNumber: 66, Title: Statuette of Herakles,  Period: Classical,  Date: 5th century B.C. or later,  Culture: Etruscan Umbrian,  Medium: Bronze,  Dimensions: H.: 4 5/8 x 2 3/8 x 1 3/8 in. (11.7 x 6 x 3.5 cm),  Classification: Bronzes,  Credit Line: Gift of Mrs. Helen H. Mertens 1977,  Accession Number: 1977.194.5
tempObjectNumber: 67, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Length 10.5 cm.  H. 4.1 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1948
tempObjectNumber: 68, Title: Limestone statuette of a beardless male votary in Greek dress,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 12 7/8 x 5 x 2 5/8 in. (32.7 x 12.7 x 6.7 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2601
tempObjectNumber: 69, Title: Agate lentoid seal,  Period: Late Minoan IIIA,  Date: ca. 1400–1300 B.C.,  Culture: Minoan,  Medium: Agate,  Dimensions: Diameter 1.99 cm-2.07 cm Thickness 1 cm,  Classification: Gems,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.123
tempObjectNumber: 70, Title: Limestone snake-charmer,  Period: Cypro-Archaic,  Date: 1st half of the 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 16 1/4 x 6 x 3 3/4 in. (41.3 x 15.2 x 9.5 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2529
tempObjectNumber: 71, Title: Fibula,  Period: Geometric,  Date: 9th–8th century B.C.,  Culture: Italic Villanovan,  Medium: Bronze,  Dimensions: Other: 1 1/8 in. (2.9 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.35
tempObjectNumber: 72, Title: Marble portrait of Livia,  Period: Early Imperial Tiberian,  Date: ca. A.D. 14–37,  Culture: Roman,  Medium: Marble,  Dimensions: Other: 9 7/8 x 7 1/4 x 6 3/8 in. (25.1 x 18.4 x 16.2 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1918,  Accession Number: 18.145.45
